Sequence_length	Runtime	Score
100	0.13134336471557617	977
10	0.023214340209960938	70
110	0.19085407257080078	785
120	0.10392904281616211	868
130	0.22188425064086914	989
140	0.32390666007995605	1333
150	0.2809407711029053	1098
160	0.23625397682189941	1608
170	0.21438002586364746	1272
180	0.2770254611968994	1223
190	0.2764623165130615	1458
200	0.3588128089904785	1484
20	0.019305706024169922	135
30	0.03146553039550781	286
40	0.023555994033813477	328
50	0.06985282897949219	523
60	0.06279706954956055	641
70	0.0934290885925293	558
80	0.08064460754394531	809
90	0.12248849868774414	917
