Sequence_length	Runtime	Score
100	6.512820720672607	687
10	0.033513784408569336	70
110	9.978693723678589	754
120	11.621551513671875	810
130	24.62657618522644	895
140	25.334763050079346	957
150	29.830766677856445	1023
160	35.52976322174072	1080
170	42.21276617050171	1186
180	42.57930254936218	1158
190	56.41148257255554	1323
200	61.07475543022156	1379
20	0.13669252395629883	135
30	0.3390467166900635	231
40	0.7481811046600342	318
50	1.0097053050994873	385
60	1.7854235172271729	440
70	2.7839932441711426	516
80	3.9979658126831055	589
90	5.365962505340576	628
